,CorrTime,fltLongitude,fltLatitude,fltSpeed,dtTime,srtAngle,NoOfSat,DoorOpen,IgniStat,ExtBatLevel,IntBatLevel,odo,din3,din4,an1,an2,an3,an4,odometer,zzentrydt,angles,angles_cross,lat_long,distances,deltaT,speed
44,2018-06-19 10:16:36,81.189299,24.493026999999998,8,19-06-2018 04:46,172,,1,1,14262,4003,2,1,1,13823,,300,300,,19-06-2018 04:47,30.579226876464435,30.579226876464435,"24.493026999999998, 81.189299",0.002404262500393815,0.0008333333333333334,2.8851150004725774
45,2018-06-19 10:16:52,81.18943399999999,24.492898999999998,6,19-06-2018 04:46,126,,1,1,14298,4003,20,1,1,13833,,300,300,,19-06-2018 04:47,20.741965504379014,20.741965504379014,"24.492898999999998, 81.18943399999999",0.01970424625665675,0.0044444444444444444,4.433455407747768
46,2018-06-19 10:17:03,81.189613,24.492824,6,19-06-2018 04:47,91,,1,1,14298,4003,20,1,1,13824,,300,300,,19-06-2018 04:47,28.742417687597612,28.742417687597612,"24.492824, 81.189613",0.019954966009264472,0.0030555555555555557,6.530716148486555
47,2018-06-19 10:17:04,81.18963199999999,24.492826,6,19-06-2018 04:47,70,,1,1,14288,4003,2,1,1,13812,,300,300,,19-06-2018 04:47,24.738214262600415,24.738214262600415,"24.492826, 81.18963199999999",0.0019385496515956194,0.0002777777777777778,6.97877874574423
48,2018-06-19 10:17:34,81.190022,24.493057999999998,6,19-06-2018 04:47,50,,1,1,14308,4003,48,1,1,13833,,300,300,,19-06-2018 04:48,4.777642585966486,4.777642585966486,"24.493057999999998, 81.190022",0.0471490328334553,0.008333333333333333,5.657883940014636
49,2018-06-19 10:18:04,81.190445,24.49336,6,19-06-2018 04:48,50,,1,1,14306,4003,55,1,1,13836,,300,300,,19-06-2018 04:48,0.37810926302036885,0.37810926302036885,"24.49336, 81.190445",0.05438085425753939,0.008333333333333333,6.525702510904727
50,2018-06-19 10:18:34,81.19082900000001,24.493638,6,19-06-2018 04:48,48,,1,1,14281,4003,51,1,1,13825,,300,300,,19-06-2018 04:51,11.48675447695575,11.48675447695575,"24.493638, 81.19082900000001",0.04962999102603478,0.008333333333333333,5.955598923124174
51,2018-06-19 10:19:04,81.191296,24.49385,6,19-06-2018 04:49,63,,1,1,14315,4003,54,1,1,13831,,300,12,,19-06-2018 05:02,1.232436020267663,1.232436020267663,"24.49385, 81.191296",0.0528395825740388,0.008333333333333333,6.340749908884656
52,2018-06-19 10:19:34,81.191763,24.49405,5,19-06-2018 04:49,61,,1,1,14309,4003,53,1,1,13827,,300,12,,19-06-2018 05:02,108.44975775971673,108.44975775971673,"24.49405, 81.191763",0.05226238037017739,0.008333333333333333,6.271485644421287
53,2018-06-19 10:20:04,81.191699,24.494122,6,19-06-2018 04:50,243,,1,1,14308,4003,11,1,1,13835,,300,12,,19-06-2018 05:02,71.80639675647963,71.80639675647963,"24.494122, 81.191699",0.010280256062343627,0.008333333333333333,1.2336307274812353
54,2018-06-19 10:20:34,81.19126999999999,24.493935999999998,5,19-06-2018 04:50,244,,1,1,14302,4003,49,1,1,13836,,300,12,,19-06-2018 05:02,0.4424413856396061,0.4424413856396061,"24.493935999999998, 81.19126999999999",0.04811705522477092,0.008333333333333333,5.774046626972511
55,2018-06-19 10:21:04,81.190938,24.493789000000003,0,19-06-2018 04:51,237,,1,1,14383,4003,38,1,1,13902,,300,12,,19-06-2018 05:02,,,"24.493789000000003, 81.190938",0.037383665702669065,0.008333333333333333,4.486039884320288
56,2018-06-19 10:21:05,81.190938,24.493789000000003,0,19-06-2018 04:51,237,,0,1,14397,4003,0,1,1,13917,,300,300,,19-06-2018 04:51,,,"24.493789000000003, 81.190938",0.0,0.0002777777777777778,0.0
57,2018-06-19 10:21:35,81.190938,24.493789000000003,0,19-06-2018 04:51,237,,0,0,13725,4003,0,1,1,0,,300,300,,19-06-2018 04:52,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
58,2018-06-19 10:22:05,81.190938,24.493789000000003,0,19-06-2018 04:52,237,,0,0,13599,4003,0,1,0,0,,300,300,,19-06-2018 04:52,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
59,2018-06-19 10:22:35,81.190938,24.493789000000003,0,19-06-2018 04:52,237,,0,0,13540,4003,0,1,0,0,,300,300,,19-06-2018 04:53,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
60,2018-06-19 10:22:41,81.190938,24.493789000000003,0,19-06-2018 04:52,237,,0,0,13522,4003,0,1,0,0,,300,300,,19-06-2018 04:53,,,"24.493789000000003, 81.190938",0.0,0.0016666666666666668,0.0
61,2018-06-19 10:23:11,81.190938,24.493789000000003,0,19-06-2018 04:53,237,,0,0,13491,4003,0,1,0,0,,300,300,,19-06-2018 04:54,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
62,2018-06-19 10:23:41,81.190938,24.493789000000003,0,19-06-2018 04:53,237,,0,0,13472,4003,0,1,0,0,,300,300,,19-06-2018 04:54,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
63,2018-06-19 10:24:11,81.190938,24.493789000000003,0,19-06-2018 04:54,237,,0,0,13452,4003,0,1,0,0,,300,300,,19-06-2018 04:55,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
64,2018-06-19 10:24:41,81.190938,24.493789000000003,0,19-06-2018 04:54,237,,0,0,13433,4003,0,1,0,0,,300,300,,19-06-2018 04:55,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
65,2018-06-19 10:25:11,81.190938,24.493789000000003,0,19-06-2018 04:55,237,,0,0,13423,4003,0,1,0,0,,300,300,,19-06-2018 04:56,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
66,2018-06-19 10:25:41,81.190938,24.493789000000003,0,19-06-2018 04:55,237,,0,0,13404,4003,0,1,0,0,,300,300,,19-06-2018 04:56,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
67,2018-06-19 10:26:11,81.190938,24.493789000000003,0,19-06-2018 04:56,237,,0,0,13384,4003,0,1,0,0,,300,300,,19-06-2018 04:56,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
68,2018-06-19 10:26:41,81.190938,24.493789000000003,0,19-06-2018 04:56,237,,0,0,13375,4003,0,1,0,0,,300,300,,19-06-2018 04:57,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
69,2018-06-19 10:27:11,81.190938,24.493789000000003,0,19-06-2018 04:57,237,,0,0,13374,4003,0,1,0,0,,300,300,,19-06-2018 04:57,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
70,2018-06-19 10:27:17,81.190938,24.493789000000003,0,19-06-2018 04:57,237,,1,1,13344,4003,0,1,1,0,,300,300,,19-06-2018 04:57,,,"24.493789000000003, 81.190938",0.0,0.0016666666666666668,0.0
71,2018-06-19 10:27:47,81.190938,24.493789000000003,0,19-06-2018 04:57,237,,1,1,12769,4003,0,1,0,2586,,300,300,,19-06-2018 04:58,,,"24.493789000000003, 81.190938",0.0,0.008333333333333333,0.0
72,2018-06-19 10:28:17,81.191046,24.493901,3,19-06-2018 04:58,29,,1,1,14290,4003,17,1,1,13835,,300,300,,19-06-2018 05:00,157.0585739292783,157.0585739292783,"24.493901, 81.191046",0.01654495510026297,0.008333333333333333,1.9853946120315566
73,2018-06-19 10:28:47,81.19083499999999,24.493810999999997,3,19-06-2018 04:58,242,,1,1,14326,4003,24,1,1,13859,,300,300,,19-06-2018 05:00,0.897601633517224,0.897601633517224,"24.493810999999997, 81.19083499999999",0.02359614649457836,0.008333333333333333,2.831537579349403
74,2018-06-19 10:29:17,81.190534,24.493676999999998,4,19-06-2018 04:59,247,,1,1,14309,4003,35,1,1,13853,,300,300,,19-06-2018 05:00,2.257023185608717,2.257023185608717,"24.493676999999998, 81.190534",0.0339281455549145,0.008333333333333333,4.07137746658974
75,2018-06-19 10:29:47,81.190208,24.493547,4,19-06-2018 04:59,243,,1,1,14323,4003,37,1,1,13837,,300,300,,19-06-2018 05:00,3.3336402898395936,3.3336402898395936,"24.493547, 81.190208",0.03604451758186657,0.008333333333333333,4.325342109823988
76,2018-06-19 10:30:17,81.190099,24.493496,0,19-06-2018 05:00,246,,1,1,14319,4003,13,1,1,13869,,300,300,,19-06-2018 05:01,,,"24.493496, 81.190099",0.012408672500606373,0.008333333333333333,1.4890407000727648
77,2018-06-19 10:30:47,81.190099,24.493496,0,19-06-2018 05:00,246,,1,1,14329,4003,0,1,1,13893,,300,300,,19-06-2018 05:01,,,"24.493496, 81.190099",0.0,0.008333333333333333,0.0
78,2018-06-19 10:31:17,81.190099,24.493496,0,19-06-2018 05:01,246,,1,1,14289,4003,0,1,1,13825,,300,300,,19-06-2018 05:02,,,"24.493496, 81.190099",0.0,0.008333333333333333,0.0
79,2018-06-19 10:31:47,81.190099,24.493496,0,19-06-2018 05:01,246,,1,1,14294,4003,0,1,1,13804,,300,300,,19-06-2018 05:02,,,"24.493496, 81.190099",0.0,0.008333333333333333,0.0
80,2018-06-19 10:32:17,81.190099,24.493496,0,19-06-2018 05:02,246,,1,1,14328,4003,0,1,1,13858,,300,300,,19-06-2018 05:03,,,"24.493496, 81.190099",0.0,0.008333333333333333,0.0
81,2018-06-19 10:32:47,81.189965,24.493385999999997,0,19-06-2018 05:02,42,,1,1,14298,4003,19,1,1,13824,,300,300,,19-06-2018 05:03,,,"24.493385999999997, 81.189965",0.01824642371832315,0.008333333333333333,2.189570846198778
82,2018-06-19 10:33:17,81.189965,24.493385999999997,0,19-06-2018 05:03,42,,1,1,14298,4003,0,1,1,13832,,300,300,,19-06-2018 05:04,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
83,2018-06-19 10:33:47,81.189965,24.493385999999997,0,19-06-2018 05:03,42,,1,1,14293,4003,0,1,1,13832,,300,300,,19-06-2018 05:04,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
84,2018-06-19 10:34:17,81.189965,24.493385999999997,0,19-06-2018 05:04,42,,1,1,14331,4003,0,1,1,13848,,300,300,,19-06-2018 05:04,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
85,2018-06-19 10:34:47,81.189965,24.493385999999997,0,19-06-2018 05:04,42,,1,1,14338,4003,0,1,1,13871,,300,300,,19-06-2018 05:05,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
86,2018-06-19 10:35:17,81.189965,24.493385999999997,0,19-06-2018 05:05,42,,1,1,14375,4003,0,1,1,13900,,300,300,,19-06-2018 05:06,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
87,2018-06-19 10:35:47,81.189965,24.493385999999997,0,19-06-2018 05:05,42,,1,1,14377,4003,0,1,1,13895,,300,300,,19-06-2018 05:06,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
88,2018-06-19 10:36:17,81.189965,24.493385999999997,0,19-06-2018 05:06,42,,1,1,14371,4003,0,1,1,13907,,300,300,,19-06-2018 05:07,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
89,2018-06-19 10:36:47,81.189965,24.493385999999997,0,19-06-2018 05:06,42,,1,1,14377,4003,0,1,1,13903,,300,300,,19-06-2018 05:07,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
90,2018-06-19 10:37:17,81.189965,24.493385999999997,0,19-06-2018 05:07,42,,1,1,14375,4003,0,1,1,13909,,300,300,,19-06-2018 05:08,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
91,2018-06-19 10:37:47,81.189965,24.493385999999997,0,19-06-2018 05:07,42,,1,1,14372,4003,0,1,1,13902,,300,300,,19-06-2018 05:08,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
92,2018-06-19 10:38:17,81.189965,24.493385999999997,0,19-06-2018 05:08,42,,1,1,14370,4003,0,1,1,13895,,300,300,,19-06-2018 05:08,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
